Abstract,Keywords
" ileal dieulafoy lesion is an unusual vascular abnormality that can cause gastrointestinal bleeding . 
 it can be associated with massive , life - threatening hemorrhage and requires urgent angiographic intervention or surgery . 
 ileal dieulafoy lesion is hard to recognize due to inaccessibility and normal - appearing mucosa . with advances in endoscopy , aggressive diagnostic and therapeutic approaches including enteroscopy 
 have recently been performed for small bowel bleeding . 
 we report two cases of massive ileal dieulafoy lesion bleeding diagnosed and treated successfully by single balloon enteroscopy with a review of the literature . ","dieulafoy, ileal, bleeding, lesion, enteroscopy"
" obesity is viewed as a major public health concern , and obesity stigma is pervasive . 
 such marginalization renders obese persons a  special population .  
 weight bias arises in part due to popular sources ' attribution of obesity causation to individual lifestyle factors . 
 this may not accurately reflect the experiences of obese individuals or their perspectives on health and quality of life . 
 a powerful role may exist for applied social scientists , such as anthropologists or sociologists , in exploring the lived and embodied experiences of this largely discredited population . 
 this novel research may aid in public health intervention planning . through these studies , 
 applied social scientists could help develop a nonstigmatizing , salutogenic approach to public health that accurately reflects the health priorities of all individuals . 
 such an approach would call upon applied social science 's strengths in investigating the mundane , problematizing the  taken for granted  and developing emic ( insiders ' ) understandings of marginalized populations . ","health, public, obesity, social, applied"
" background : celiac disease ( cd ) is a common autoimmune disorder . 
 efficient identification of patients may improve chronic management of the disease . 
 prior studies have shown searching international classification of diseases-9 ( icd-9 ) codes alone is inaccurate for identifying patients with cd . in this study , we developed automated classification algorithms leveraging pathology reports and other clinical data in electronic health records ( ehrs ) to refine the subset population preselected using icd-9 code ( 579.0).materials and methods : ehrs were searched for established icd-9 code ( 579.0 ) suggesting cd , based on which an initial identification of cases was obtained . 
 in addition , laboratory results for tissue transglutaminse were extracted . 
 using natural language processing we analyzed pathology reports from upper endoscopy . 
 twelve machine learning classifiers using different combinations of variables related to icd-9 cd status , laboratory result status , and pathology reports were experimented to find the best possible cd classifier . 
 ten - fold cross - validation was used to assess the results.results:a total of 1498 patient records were used including 363 confirmed cases and 1135 false positive cases that served as controls . logistic model based on both clinical and pathology report 
 features produced the best results : kappa of 0.78 , f1 of 0.92 , and area under the curve ( auc ) of 0.94 , whereas in contrast using icd-9 only generated poor results : kappa of 0.28 , f1 of 0.75 , and auc of 0.63.conclusion:our automated classification system presented an efficient and reliable way to improve the performance of cd patient identification . ","cd, icd, pathology, identification, classification"
" objectivenon - specific cervicitis or inflammatory changes in a smear report are common which are usually unclear for clinical approaches . to investigate the frequency of inflammation and pathogenic vaginal microorganisms in cervical smears among an iranian population sample.materials and methodsthis cross - sectional study was carried out on pap smear samples of women referred to gynecological clinic of taleghani hospital in tehran , iran , between october 2008 and march 2009 . 
 this study was conducted on 528 conventional papanicolaou cervical smears . 
 the frequency and severity of inflammation and prevalence of bacterial vaginosis ( bv ) , trichomonas vaginalis ( tv ) , and vaginal candidiasis ( vc ) was determined in the samples . 
 also co - infection of the microorganisms in pap samples was evaluated . 
 percentage , meanstandard deviation of the outcome parameters were calculated . 
 the comparison between data was performed with the pearson 's chi square or fisher 's exact test.resultsthe prevalence of bv , vc , and tv in pap samples was 17% , 11% , and 0.4% respectively . 
 overall , the prevalence of these microorganisms in women of reproductive age was higher than menopausal women . 
 there was a significant association between vc and the presence of inflammation in our samples.conclusionbased on our results , inflammation in the pap smears can suggest an infection of vc and the patients should be considered for proper vc treatment . ","vc, pap, samples, inflammation, microorganisms"
" a study was conducted in order to evaluate the contamination by brucella spp . of meat from animals slaughtered because they had resulted positive for brucellosis at some time during their life . 
 after slaughter and before delivery to market outlets , swab samples were taken from 307 carcasses of infected animals : 40 cattle , 60 sheep and 207 goats . 
 the swabs were subsequently analysed by means of polymerase chain reaction ( pcr ) tests . 
 in addition , bacteriological tests were carried out on the lymph nodes and internal organs of the same animals . 
 brucella spp . 
 was detected by means of pcr in 25/307 carcasses ( 8% ) : 1 bovine ( 2.5% ) , 9 sheep ( 15% ) and 15 goats ( 7.2% ) and was isolated by means of a cultural method in 136/307 carcasses ( 44% ) . moreover , 
 additional analysis , performed on lymph nodes from the same carcasses that had proved positive by pcr , allowed highlighting type 3 brucella abortus in the bovine carcass and type 3 brucella melitensis in the sheep and goat carcasses . 
 the study shows that cattle , sheep and goats meat of animals slaughtered because they had tested positive for brucellosis may be contaminated by brucella spp . as this could constitute a real risk of transmission to both butchery personnel and consumers , the meat of animals infected by brucella spp . 
 should be analysed before being marketed . in this respect , 
 pcr technique performed on swabs proved to be more useful , practical and faster than the traditional bacteriological method . ","brucella, carcasses, sheep, animals, spp"
" polychondritis is an inflammatory disorder that affects various catilagenous structures , and the clinical features include auricular , nasal and respiratory tract chondritis . 
 it also involves the eyes , audiovestibular apparatus , joints and vascular structures . 
 polychondritis can be associated with several rheumatologic diseases such as systemic lupus erythematosus , rheumatoid arthritis and systemic vasculitis . 
 however , polychondritis is a rare complication of behet 's disease ( bd ) and only ten cases with combined bd and polychondritis have been reported on around the world . in this report 
 , we describe a 40-year - old korean man with bd who suffered from polychondritis that manifested as bilateral auricular chondritis , conjunctivitis and arthritis . ","polychondritis, bd, chondritis, auricular, arthritis"
" aim : the aim of this study is to evaluate the center of resistance of maxillary incisors during simultaneous intrusion and retraction.subjects and methods : in this study , the following steps were employed namely , ( 1 ) preprocessing - the creation of geometric model , mesh generation and boundary conditions . 
 ( 2 ) postprocessing - the tooth movement and determination of center of resistance.results:the center of the mid - sagittal plane approximately 6 mm apical and 4 mm posterior to a line perpendicular to the occlusal plane from the labial alveolar crest of the central incisor resistance for the maxillary four incisors was located within the.conclusion:finite element is a sound mechanical method of analysis as it was sufficient enough to provide insight into interactions between orthodontic forces , and dental tissues and reliability of this study . 
 further by using this study clinically , the center of resistance can be precisely located in single rooted tooth during orthodontic treatment . ","center, resistance, incisors, plane, orthodontic"
" objectiveexogenous administration of glucagon - like peptide-1 ( glp-1 ) or glp-1 receptor agonists such as an exendin-4 has direct beneficial effects on the cardiovascular system . 
 however , their effects on atherosclerogenesis have not been elucidated . 
 the aim of this study was to investigate the effects of glp-1 on accumulation of monocytes / macrophages on the vascular wall , one of the earliest steps in atherosclerogenesis.research design and methodsafter continuous infusion of low ( 300 pmol  
 kg1  
 day1 ) or high ( 24 nmol  kg1  
 day1 ) dose of exendin-4 in c57bl/6 or apolipoprotein e 
  deficient mice ( apoe/ ) , we evaluated monocyte adhesion to the endothelia of thoracic aorta and arteriosclerotic lesions around the aortic valve . 
 the effects of exendin-4 were investigated in mouse macrophages and human monocytes.resultstreatment with exendin-4 significantly inhibited monocytic adhesion in the aortas of c57bl/6 mice without affecting metabolic parameters . in apoe/ mice , the same treatment reduced monocyte adhesion to the endothelium and suppressed atherosclerogenesis . in vitro treatment of mouse macrophages with 
 exendin-4 suppressed lipopolysaccharide - induced mrna expression of tumor necrosis factor- and monocyte chemoattractant protein-1 , and suppressed nuclear translocation of p65 , a component of nuclear factor-b . 
 this effect was reversed by either mdl-12330a , a camp inhibitor or pki14 - 22 , a protein kinase a  specific inhibitor . in human monocytes , exendin-4 reduced the expression of cd11b.conclusionsour data suggested that glp-1 receptor agonists reduced monocyte / macrophage accumulation in the arterial wall by inhibiting the inflammatory response in macrophages , and that this effect may contribute to the attenuation of atherosclerotic lesion by exendin-4 . ","exendin, monocyte, glp, macrophages, atherosclerogenesis"
" 
 objective . we aimed to examine the independent contributions of physical health and cognitive function to disability among chinese older adults living in two asian metropolises and 
 explore the potential influences of environment . 
 
 design and participants . 
 cross - sectional analysis based on data from two population - based studies : the shanghai survey of alzheimer 's disease and dementia ( n = 4639 ) and the singapore longitudinal ageing study ( n = 2397 ) . 
 disability was defined as needing help in at least one activity of daily living . 
 
 results . 
 the prevalence of functional disability was higher in shanghai sample ( 5% ) than that in singapore sample ( 1.8% ) . 
 number of chronic diseases , self - rated health status , cognitive function ( measured by the mini - mental state examination ) , and environment ( singapore versus shanghai ) significantly contributed to functional disability independent of each other . 
 the adjusted odds ratio was 1.35 ( 95%ci   1.221.50 ) , 2.85 ( 95% ci 2.363.43 ) , 0.89 ( 95% ci 0.850.94 ) , and 0.68 ( 95% ci 0.480.96 ) , respectively . 
 the strength of associations between health variables and disability appeared to be influenced by environment . 
 
 conclusion . 
 physical health and cognitive function independently contributed to functional disability . 
 the associations are modulated by environmental factors . ","disability, shanghai, singapore, ci, 95"
" as the delivery of selectively targeted 
 cytotoxic agents via antibodies 
 or small molecule ligands to malignancies has begun to show promise 
 in the clinic , the need to identify and validate additional cellular 
 targets for specific therapeutic delivery is critical . 
 although a 
 multitude of cancers have been targeted using the folate receptor , 
 psma , bombesin receptor , somatostatin receptor , lhrh , and v3 , there is a notable lack of specific small 
 molecule ligand / receptor pairs to cellular targets found within cancers 
 of the gi tract . 
 because of the selective gi tract expression of the 
 cholecystokinin 2 receptor ( cck2r ) , we undertook the creation of conjugates 
 that would deliver microtubule - disrupting drugs to malignancies through 
 the specific targeting of cck2r via a high affinity small molecule 
 ligand . 
 the cytotoxic activity of these conjugates were shown to be 
 receptor mediated in vitro and in vivo with xenograft mouse models 
 exhibiting delayed growth or regression of tumors that expressed cck2r . 
 
 overall , this work demonstrates that ligands to cck2r can be used 
 to create selectively targeted therapeutic conjugates . ","receptor, cck2r, conjugates, molecule, targeted"
" nowadays , data acquisition software and sensors are being widely used in introductory physics laboratories . 
 this allows the student to spend more time exploring the data that is collected by the computer hence focusing more on the physical concept . 
 very often , a faculty is faced with the challenge of updating or introducing a microcomputer - based laboratory ( mbl ) at his or her institution . 
 this article will provide a list of experiments and equipment needed to convert about half of the traditional labs on a 1-year introductory physics lab into mbls . ","physics, introductory, mbls, labs, convert"
" octane - enhancing constituents of gasoline pose a number of health hazards . 
 this paper considers the relative risks of metallic ( lead , manganese ) , aromatic ( e.g. , benzene ) , and oxygenated additives in both industrialized and developing countries . technological advances , particularly in industrialized countries , have allowed the progressive removal of lead from gasoline and the increased control of exhaust emissions . 
 the developing world , by contrast , has relatively lax environmental standards and faces serious public health problems from vehicle exhaust and the rapid increase in automobile use . 
 financial obstacles to the modernization of refineries and vehicle fleets compound this problem and the developing world continues to import large quantities of lead additives and other hazardous materials . 
 progress in decreasing environmental health problems depends both on the adoption of international public health standards as well as efforts to decrease dependence on the private automobile for urban transport.imagesfigure 1.figure 2 . ","developing, health, standards, exhaust, industrialized"
" there is a recognized need for new treatment options for type 2 diabetes mellitus ( t2 dm ) . 
 recovery of glucose from the glomerular filtrate represents an important mechanism in maintaining glucose homeostasis and represents a novel target for the management of t2 dm . 
 recovery of glucose from the glomerular filtrate is executed principally by the type 2 sodium - glucose cotransporter ( sglt2 ) . 
 inhibition of sglt2 promotes glucose excretion and normalizes glycemia in animal models . 
 first reports of specifically designed sglt2 inhibitors began to appear in the second half of the 1990s . 
 several candidate sglt2 inhibitors are currently under development , with four in the later stages of clinical testing . the safety profile of sglt2 inhibitors 
 is expected to be good , as their target is a highly specific membrane transporter expressed almost exclusively within the renal tubules . 
 one safety concern is that of glycosuria , which could predispose patients to increased urinary tract infections . 
 so far the reported safety profile of sglt2 inhibitors in clinical studies appears to confirm that the class is well tolerated . where sglt2 inhibitors will fit in the current cascade of treatments for t2 dm has yet to be established . 
 the expected favorable safety profile and insulin - independent mechanism of action appear to support their use in combination with other antidiabetic drugs . 
 promotion of glucose excretion introduces the opportunity to clear calories ( 8090 g [ 300400 calories ] of glucose per day ) in patients that are generally overweight , and is expected to work synergistically with weight reduction programs . 
 experience will most likely lead to better understanding of which patients are likely to respond best to sglt2 inhibitors , and under what circumstances . ","sglt2, inhibitors, glucose, safety, t2"
" aimsthis trial was designed to test the hypothesis that shock efficacy during follow - up is not impaired in patients implanted without defibrillation ( df ) testing during first implantable cardioverter - defibrillator ( icd ) implantation.methods and resultsbetween february 2011 and july 2013 , 1077 patients were randomly assigned ( 1 : 1 ) to first time icd implantation with ( n = 540 ) or without ( n = 537 ) df testing . 
 the intra - operative df testing was standardized across all participating centres , and all icd shocks were programmed to 40 j irrespective of df test results . 
 the primary end point was the average first shock efficacy ( fse ) for all true ventricular tachycardia and fibrillation ( vt / vf ) episodes during follow - up . 
 the secondary end points included procedural data , serious adverse events , and mortality . during a median follow - up of 22.8 months 
 , the model - based fse was found to be non - inferior in patients with an icd implanted without a df test , with a difference in fse of 3.0% in favour of the no df test [ confidence interval ( ci ) 3.0 to 9.0% , pnon - inferiority < 0.001 for the pre - defined non - inferiority margin of 10% ) . a total of 112 procedure - related serious adverse events occurred within 30 days in 94 patients ( 17.6% ) tested compared with 89 events in 74 patients ( 13.9% ) not tested ( p = 0.095).conclusiondefibrillation efficacy during follow - up is not inferior in patients with a 40 j icd implanted without df testing . 
 defibrillation testing during first time icd implantation should no longer be recommended for routine left - sided icd implantation . ","df, icd, testing, implantation, fse"
" introductionincontinent urinary diversion using an ileal conduit is the most popular method used by urologists after bladder cystectomy resulting from muscle invasive bladder cancer . 
 the use of gastrointestinal tissue is related to a series of complications with the necessity of surgical procedure extension which increases the time of surgery . 
 regenerative medicine together with tissue engineering techniques gives hope for artificial urinary conduit construction de novo without affecting the ileum.material and methodsin this review we analyzed history of urinary diversion together with current attempts in urinary conduit construction using tissue engineering methods . 
 based on literature and our own experience we presented future perspectives related to the artificial urinary conduit construction.resultsa small number of papers in the field of tissue engineered urinary conduit construction indicates that this topic requires more attention . 
 three main factors can be distinguished to resolve this topic : proper scaffold construction along with proper regeneration of both the urothelium and smooth muscle layers.conclusionsartificial urinary conduit has a great chance to become the first commercially available product in urology constructed by regenerative medicine methods . ","conduit, urinary, construction, tissue, artificial"
" backgroundclinical studies suggest that hemodiafiltration ( hdf ) may lead to better clinical outcomes than high - flux hemodialysis ( hf - hd ) , but concerns have been raised about the cost - effectiveness of hdf versus hf - hd . 
 aim of this study was to investigate whether clinical benefits , in terms of longer survival and better health - related quality of life , are worth the possibly higher costs of hdf compared to hf-hd.methodsthe analysis comprised a simulation based on the combined results of previous published studies , with the following steps : 1 ) estimation of the survival function of hf - hd patients from a clinical trial and of hdf patients using the risk reduction estimated in a meta - analysis ; 2 ) simulation of the survival of the same sample of patients as if allocated to hf - hd or hdf using three - state markov models ; and 3 ) application of state - specific health - related quality of life coefficients and differential costs derived from the literature . 
 several monte carlo simulations were performed , including simulations for patients with different risk profiles , for example , by age ( patients aged 40 , 50 , and 60 years ) , sex , and diabetic status . 
 scatter plots of simulations in the cost - effectiveness plane were produced , incremental cost - effectiveness ratios were estimated , and cost - effectiveness acceptability curves were computed.resultsan incremental cost - effectiveness ratio of  6,982/quality - adjusted life years ( qaly ) was estimated for the baseline cohort of 50-year - old male patients . given the commonly accepted threshold of  40,000/qaly , hdf is cost - effective . 
 the probabilistic sensitivity analysis showed that hdf is cost - effective with a probability of ~81% at a threshold of  40,000/qaly . 
 it is fundamental to measure the outcome also in terms of quality of life . 
 hdf is more cost - effective for younger patients.conclusionhdf can be considered cost - effective compared to hf - hd . ","hdf, cost, hf, hd, effectiveness"
" alzheimer s disease ( ad ) is the most common form of dementia in the elderly , and it is characterized by progressive impairment in multiple cognitive domains of sufficient severity to interfere with individuals daily living activities . 
 historically , the diagnosis of ad has been based on the identification of a clinical syndrome , and accuracy studies of the current clinical criteria conducted in referral clinics have shown high sensitivity for ad . however , the identification of the disease is still not perfect , and there is growing evidence that the use of biomarkers will increase our ability to better indentify the underlying biology of ad , especially in its early stages . 
 these biomarkers will improve the detection of the patients suitable for research studies and drug trials , and they will contribute to a better management of the disease in the clinical practice . in this review , we discuss the most studied biomarkers in ad : cerebrospinal fluid proteins , structural magnetic resonance imaging , functional neuroimaging techniques , and amyloid imaging . ","ad, biomarkers, identification, clinical, disease"
" background : spinocerebellar ataxia type 3 ( sca3 ) is the most common subtype of sca worldwide , and runs a slowly progressive and unremitting disease course . 
 there is currently no curable treatment available . 
 growing evidence has suggested that nerve growth factor ( ngf ) may have therapeutic effects in neurodegenerative diseases , and possibly also in sca3 . 
 the objective of this study was to test the efficacy of ngf in sca3 patients.methods:we performed an open - label prospective study in genetically confirmed adult ( > 18 years old ) sca3 patients . 
 ngf was administered by intramuscular injection ( 18 g once daily ) for 28 days consecutively . 
 all the patients were evaluated at baseline and 2 and 4 weeks after treatment using the chinese version of the scale for assessment and rating of ataxia ( sara).results : twenty - one sca3 patients ( 10 men and 11 women , mean age 39.14  7.81 years , mean disease duration 4.14  1.90 years , mean cag repeats number 77.57  2.27 ) were enrolled . 
 after 28 days of ngf treatment , the mean total sara score decreased significantly from a baseline of 8.48  2.40 to 6.30  1.87 ( p < 0.001 ) . 
 subsections sara scores also showed significant improvements in stance ( p = 0.003 ) , speech ( p = 0.023 ) , finger chase ( p = 0.015 ) , fast alternating hand movements ( p = 0.009 ) , and heel - shin slide ( p = 0.001).conclusions : our preliminary data suggest that ngf may be effective in treating patients with sca3 . ","sca3, ngf, sara, mean, ataxia"
" single nanopores attract a great deal of scientific interest as a basis for biosensors and as a system to study the interactions and behavior of molecules in a confined volume . 
 tuning the geometry and surface chemistry of nanopores helps create devices that control transport of ions and molecules in solution . here 
 , we present single conically shaped nanopores whose narrow opening of 8 or 12  nm is modified with single - stranded dna molecules . 
 we find that the dna occludes the narrow opening of nanopores and that the blockade extent decreases with the ionic strength of the background electrolyte . 
 the results are explained by the ionic strength dependence of the persistence length of dna . at low kcl concentrations ( 10  mm ) 
 the molecules assume an extended and rigid conformation , thereby blocking the pore lumen and reducing the flow of ionic current to a greater extent than compacted dna at high salt concentrations . attaching flexible polymers to the pore walls 
 hence creates a system with tunable opening diameters in order to regulate transport of both neutral and charged species . ","nanopores, molecules, ionic, dna, opening"
" summarycutaneous c - unmyelinated mrgprd+ free nerve endings and c - ltmrs innervating hair follicles convey two opposite aspects of touch sensation : a sensation of pain and a sensation of pleasant touch . 
 the molecular mechanisms underlying these diametrically opposite functions are unknown . here 
 , we used a mouse model that genetically marks c - ltmrs and mrgprd+ neurons in combination with fluorescent cell surface labeling , flow cytometry , and rna deep - sequencing technology ( rna - seq ) . cluster analysis of rna - seq profiles of the purified neuronal subsets revealed 486 and 549 genes differentially expressed in mrgprd - expressing neurons  and c - ltmrs , respectively . 
 we validated 48 mrgpd- and 68 c - ltmrs - enriched genes using a triple - staining approach , and the cav3.3 channel , found to be exclusively expressed in c - ltmrs , was validated using electrophysiology . 
 our study greatly expands the molecular characterization of c - ltmrs and suggests that this particular population of neurons shares some molecular features with a and a low - threshold mechanoreceptors . ","ltmrs, sensation, mrgprd, neurons, rna"
" different physiological and pathological conditions can perturb protein folding in the endoplasmic reticulum , leading to a condition known as er stress . 
 er stress activates a complex intracellular signal transduction pathway , called unfolded protein response ( upr ) . 
 the upr is tailored essentially to reestablish er homeostasis also through adaptive mechanisms involving the stimulation of autophagy . however , 
 when persistent , er stress can switch the cytoprotective functions of upr and autophagy into cell death promoting mechanisms . 
 recently , a variety of anticancer therapies have been linked to the induction of er stress in cancer cells , suggesting that strategies devised to stimulate its prodeath function or block its prosurvival function , could be envisaged to improve their tumoricidial action . a better understanding of the molecular mechanisms that determine the final outcome of upr and autophagy activation by chemotherapeutic agents , will offer new opportunities to improve existing cancer therapies as well as unravel novel targets for cancer treatment . ","er, upr, autophagy, stress, mechanisms"
" backgroundbevacizumab has become standard of care as first - line treatment of metastatic colorectal cancer ( mcrc ) , after proving increased response rates and improvement in survival outcomes . 
 hypertension ( htn ) is a common complication of the treatment with bevacizumab and , owing to its close relation with antiangiogenic mechanism , may represent a clinical biomarker to predict the efficacy of the treatment . 
 the aim of this study was to retrospectively evaluate if htn grades 2 to 3 were correlated with response to treatment with bevacizumab in first line , as well as with improved progression - free survival ( pfs ) and overall survival ( os ) , in a series of patients with mcrc.methodsretrospective evaluation of clinical records of patients with histologically proven mcrc , treated with bevacizumab as first - line treatment , between january 2008 and december 2013.results79 patients were evaluated . 
 51.9% of patients developed htn g2-g3 during chemotherapy - bevacizumab treatment . in the group of patients who developed bevacizumab - related htn , 73.2% showed response to treatment ( complete response ( cr)+ partial response ( pr ) ) and 97.6% achieved disease control ( cr , pr or stable disease ) compared to 18.4% of patients with response and 63.2% with disease control in the group that did not ( or 12.08 ; 95% ci 4.13 to 35.29 ; p<0.001 responders vs non - responders ; or 20.8 ; 95% ci 2.56 to 168.91 ; p 0.005 controlled vs 
 non controlled disease ) . 
 the median os was 28  months ( 22.733.3 ) . 
 significant statistical difference was obtained in pfs between the two groups ( p<0.001 ) . in the group that developed bevacizumab - related htn , 
 the median os was 33  months ( 25.740.3 ) , and in the group that did not , it was 21  months ( 16.525.5 ) with no significant statistical difference between the two groups ( p 0.114).conclusionsin this subset of patients , htn g2 - 3 was predictive of response to treatment with bevacizumab and of pfs but not of os . ","bevacizumab, htn, response, os, treatment"
" there is a need recognized by the national institute of dental & craniofacial research and the national cancer institute to advance basic , translational and clinical saliva research . 
 the goal of the salivaomics knowledge base ( skb ) is to create a data management system and web resource constructed to support human salivaomics research . to maximize the utility of the skb for retrieval , integration and analysis of data 
 , we have developed the saliva ontology and sdxmart . 
 this article reviews the informatics advances in saliva diagnostics made possible by the saliva ontology and sdxmart . ","saliva, sdxmart, ontology, skb, salivaomics"
" background : various histopathological changes have been observed following neoadjuvant chemotherapy in individual tumors in the literature.aims and objectives : to observe histopathologic changes seen after neoadjuvant chemotherapy in breast malignancies , squamous cell carcinomas , adenocarcinomas , and wilms tumor using breast cancer predominantly as the model.materials and methods : the present prospective study was carried out on 60 patients including 40 patients with carcinoma breast and 20 patients with other malignancies who received neoadjuvant chemotherapy.results:post neoadjuvant chemotherapy , mastectomy specimens revealed nuclear enlargement , nuclear shrinkage , necrosis , vacuolation of nucleus , vacuolation of cytoplasm , dyscohesion , and shrinkage of tumor cells with nuclear changes of nonviability like karyorrhexis , karyolysis , and pyknosis . 
 stromal reactions manifested as fibrosis , elastosis , collagenization , hyalinization , microcalcification , and neovascularization . 
 areas of necrosis included both vascular and avascular pattern . 
 the stroma also revealed fibrinoid necrosis and mucinous change . 
 hyalinization of the blood vessel wall was a common finding . 
 the most common inflammatory host response observed in the present study was lymphocytic ; others included mixed inflammation , plasmacytic , prominent histiocytic , and giant cell types . 
 giant cell reaction was significantly correlated to all types of tumor responses ( p < 0.05 ) . 
 similar changes were also observed in other malignancies . a detailed review of the literature has also been done and presented.conclusion:the tumor grade decreases and differentiation improves , in addition to the retrogressive changes and increase in stromal component , as a result of chemotherapy in carcinoma breast as well as in other malignancies . ","neoadjuvant, malignancies, chemotherapy, breast, changes"
" retrospective data was collected from 77 elderly acute myeloid leukemia ( aml ) patients treated with azacitidine ( aza ) and 50 elderly aml patients treated with intensive chemotherapy ( ic ) from 4 portuguese hospitals.median os was 10.6 months in those receiving aza as 1st line . 
 response ( overall response rate 44% ) had a significant impact on overall survival ( p=<0.0001 ) . 
 median os of the comparator ic cohort was significantly inferior to that observed in the cohort treated with aza in first line ( p=0.0104).these results support the efficacy of aza in aml in the elderly in any line of treatment . ","aza, aml, elderly, line, ic"
" background : disorders of cardiovascular system can cause disability or death , screening is necessary specially in workers who maybe had risk factors . 
 hypertension , hyperlipidemia , obesity , smoking , genetic , exposure to chemicals , fumes , solvents , coldness are non occupational and occupational risk factors . 
 objective was comparison of cardiovascular disorders risk factors between workers in different industries of iran.methods:in a cross - sectional study , workers of automobile , food industries and light works had been selected and cardiovascular disorders risk factors had been gathered then data analyzed in spss with one - way anova , chi-2 and multi nominal logistic regression with p < 0.05.results:875 workers had been participated in the study , all of the cardiovascular disorders risk factors were in the normal range . 
 mean of high density lipoprotein ( hdl ) in food industry workers was 63.83  17.42 mg / dl and it was protective , but in workers who work in automobile industry was 38.97  11.08 mg / dl and the lowest , also hypertension and hypertriglyceridemia were more prominent in this industry and after regression with p < 0.05 , the differences were significant.conclusions:screening of cardiovascular disorders risk factors were important and helpful in industries specially automobile industry , that might be preventive method for these disorders in the future . ","workers, disorders, industry, cardiovascular, factors"
" purposeas endoscopic treatment for vesicoureteral reflux ( vur ) has increased , secondary ureteral reimplantation ( ur ) after failure of endoscopic treatment has increased . 
 we studied the clinical feature and efficacy of secondary ur after failure of endoscopic treatment compared with primary ur.materials and methodseighty - one children who had ur for vur were enrolled . 
 charts were reviewed retrospectively for age , sex , grade of vur before surgery , operative time , hospitalization period , postoperative complication , and success rate . 
 primary ur ( group a , n=64 ) was compared with secondary ur after failed endoscopic treatment ( group b , n=17 ) . in group 
 b , telephone survey for the satisfaction of endoscopic treatment and surgery was done.resultsmean age of each group was 49.637.1 and 56.622.5 months ( p=0.236 ) . 
 there was no significant difference between each group in sex , mean operative time , postoperative transfusion , complication rate , and success rate . 
 as telephone survey in group b , eleven responders preferred endoscopic treatment as primary treatment of vur because it was a simple method and no hospitalization.conclusionssecondary ur after failure of endoscopic treatment was similar to primary ur . 
 parents preferred endoscopic treatment as first line treatment for vur in spite of the need for secondary ur after failure of endoscopic treatment . ","ur, endoscopic, vur, treatment, group"
" introductionorganizations can be regarded as systems . 
 the traditional model of systems views them as machines . 
 this seems to be insufficient when it comes to understanding and organizing complex tasks . to better understand integrated care we should approach organizations as constantly changing living organisms , where many agents are interconnected in so - called complex adaptive systems ( cas).theory and discussionthe term  complex 
  emphasizes that the necessary competence to perform a task is not owned by any one part , but comes as a result of co - operation within the system .  
 adaptive  means that system change occurs through successive adaptations . 
 a cas consists of several subsystems called agents , which act in dependence of one another . 
 examples would be the ant - hill , the human immune defence , the financial market and the surgical operating theatre team . studying a cas , 
 the focus is on the interaction and communication between agents . 
 although these thoughts are not new , the cas - approach has not yet been widely applied to the management of integrated care . 
 this helps the management to understand why the traditional top down way of managing , following the machine model thinking , may meet with problems in interdependent organizations with complex tasks.conclusionwhen we perceive health and social services as cass we should gain more insight into the processes that go on within and between organizations and how top management , for example within a hospital , in fact executes its steering function . ","cas, organizations, complex, agents, tasks"
" cathepsins are an essential protease family in all living cells . 
 the cathepsins play an essential roles such as protein catabolism and protein synthesis . to targeting to various organella and 
 to regulate their activity , the post translational - processing and modification play an important role cathepsins are translated in polysome as the pre - pro - mature forms . 
 the pre - peptide is removed cotranslationally and then translocated to golgi - apparatus and the pro - part is removed and the mature - part is glycosylated , and the mature - part is targeted into the lysosome mediated by mannose-6-phosphate signal and the mature - part is bound with their coenzymes . 
 the degradation of the mature - part is started by the limited proteolysis of the ordered nicked bonds to make hydrophobic peptides . 
 the peptides are incorporated into phagosome or proteasome after ubiquitinated and are degrade into amino - acids . 
 cystatins are endogenous inhibitors of cathepsins . 
 
 cystatin  which is only located in skin is phosphorylated at the near c - terminus by protein kinase - c , and the phosphorylate - cystatin  is incorporated into cornified envelope and conjugated with filaggrin - fiber by transglutaminase to form the linker - fiber of skin . 
 the cystatin  is modified by glutathione or make their dimmer , and they are inactive . 
 those modifications are regulated by the redox - potential by the glutathione . ","mature, cathepsins, cystatin, pro, glutathione"
" hypothyroidism is a common endocrine disorder with characteristic clinical symptoms and signs . 
 typical symptoms of hypothyroidism are lethargy , cold intolerance , slowing of intellectual and motor activity , decreased appetite , weight gain , and dry skin . 
 a 39-year - old female presented to the clinic with dysarthria as the chief symptom . 
 subsequent questions revealed that other symptoms were confined to the otolaryngeal region , which were episodes of mild dysphonia , dysphagia , sleep apnea , and snoring . 
 laboratory data revealed marked hypothyroidism and positive tests for antithyroglobulin and antimicrosomal antibodies . 
 after administration of thyroxin , the dysarthria and the other symptoms rapidly disappeared . 
 dysarthria may be the presenting symptom of hypothyroidism and can be resolved after hormone replacement therapy . ","hypothyroidism, dysarthria, symptoms, symptom, revealed"
