Abstract,Keywords,Processed_Abstract
" purposethe purpose of this study was to compare retinal nerve fiber layer ( rnfl ) thickness and optical coherence tomography angiography ( oct - a ) retinal vasculature measurements in healthy , glaucoma suspect , and glaucoma patients.methodstwo hundred sixty - one eyes of 164 healthy , glaucoma suspect , and open - angle glaucoma ( oag ) participants from the diagnostic innovations in glaucoma study with good quality oct - a images were included . 
 retinal vasculature information was summarized as a vessel density map and as vessel density ( % ) , which is the proportion of flowing vessel area over the total area evaluated . 
 two vessel density measurements extracted from the rnfl were analyzed : ( 1 ) circumpapillary vessel density ( cpvd ) measured in a 750-m - wide elliptical annulus around the disc and ( 2 ) whole image vessel density ( wivd ) measured over the entire image . 
 areas under the receiver operating characteristic curves ( auroc ) were used to evaluate diagnostic accuracy.resultsage-adjusted mean vessel density was significantly lower in oag eyes compared with glaucoma suspects and healthy eyes . 
 ( cpvd : 55.1  7% , 60.3  5% , and 64.2  3% , respectively ; p < 0.001 ; and wivd : 46.2  6% , 51.3  5% , and 56.6  3% , respectively ; p < 0.001 ) . 
 for differentiating between glaucoma and healthy eyes , the age - adjusted auroc was highest for wivd ( 0.94 ) , followed by rnfl thickness ( 0.92 ) and cpvd ( 0.83 ) . 
 the aurocs for differentiating between healthy and glaucoma suspect eyes were highest for wivd ( 0.70 ) , followed by cpvd ( 0.65 ) and rnfl thickness ( 0.65).conclusionsoptical coherence tomography angiography vessel density had similar diagnostic accuracy to rnfl thickness measurements for differentiating between healthy and glaucoma eyes . 
 these results suggest that oct - a measurements reflect damage to tissues relevant to the pathophysiology of oag . ","glaucoma, vessel, density, rnfl, eyes",purposeth purpos studi compar retin nerv fiber layer rnfl thick optic coher tomographi angiographi oct retin vasculatur measur healthi glaucoma suspect glaucoma patientsmethodstwo hundr sixti one eye 164 healthi glaucoma suspect open angl glaucoma oag particip diagnost innov glaucoma studi good qualiti oct imag includ retin vasculatur inform summar vessel densiti map vessel densiti proport flow vessel area total area evalu two vessel densiti measur extract rnfl analyz 1 circumpapillari vessel densiti cpvd measur 750 wide ellipt annulu around disc 2 whole imag vessel densiti wivd measur entir imag area receiv oper characterist curv auroc use evalu diagnost accuracyresultsageadjust mean vessel densiti significantli lower oag eye compar glaucoma suspect healthi eye cpvd 551 7 603 5 642 3 respect p 0001 wivd 462 6 513 5 566 3 respect p 0001 differenti glaucoma healthi eye age adjust auroc high wivd 094 follow rnfl thick 092 cpvd 083 auroc differenti healthi glaucoma suspect eye high wivd 070 follow cpvd 065 rnfl thick 065conclusionsopt coher tomographi angiographi vessel densiti similar diagnost accuraci rnfl thick measur differenti healthi glaucoma eye result suggest oct measur reflect damag tissu relev pathophysiolog oag
" wegener s granulomatosis ( wg ) is a rare , systemic vasculitis involving multiple organs . 
 the clinical presentation is highly diverse , and there is considerable risk of mortality if diagnosis and treatment are delayed . 
 we present a case illustrating that patients with wg may initially present with localized cutaneous symptoms and signs . ","wg, illustrating, granulomatosis, wegener, considerable",wegen granulomatosi wg rare system vascul involv multipl organ clinic present highli diver consider risk mortal diagnosi treatment delay present case illustr patient wg may initi present local cutan symptom sign
" background and objectives : if surgery is indicated for primary spontaneous pneumothorax ( psp ) , video - assisted thoracoscopic surgery ( vats ) using an endoscopic linear cutter to resect the involved blebs is the most popular treatment . 
 we tried to determine whether closure of the blebs with sutures without resection is also efficacious enough to treat psp.methods:we prospectively analyzed 22 episodes of psp in 21 patients from january 2001 to april 2002 . 
 we endosutured the blebs , without removing them , no matter what the size and the number of the blebs were . 
 coagulation pleurodesis was added in every case . 
 only 3 ports were needed during the procedure.results:morbidity and cost efficiency were acceptable . 
 two recurrences were experienced . 
 the reasons for the recurrences were poor performance of the endo - suture in 1 patient , and no obvious blebs found in the other.conclusions:we believe that vats wedge closure of blebs by imbricating and buttressing them , without resection , is a feasible and effective alternative treatment for primary spontaneous pneumothorax . ","blebs, psp, vats, pneumothorax, closure",background object surgeri indic primari spontan pneumothorax psp video assist thoracoscop surgeri vat use endoscop linear cutter resect involv bleb popular treatment tri determin whether closur bleb sutur without resect also efficaci enough treat pspmethodsw prospect analyz 22 episod psp 21 patient januari 2001 april 2002 endosutur bleb without remov matter size number bleb coagul pleurodesi ad everi case 3 port need procedureresultsmorbid cost effici accept two recurr experienc reason recurr poor perform endo sutur 1 patient obviou bleb find otherconclusionsw believ vat wedg closur bleb imbric buttress without resect feasibl effect altern treatment primari spontan pneumothorax
" primary hyperparathyroidism often presents with protean manifestations , resulting in delayed diagnosis . at times , aberrant 
 development and migration of the gland leads to ectopic location leading to problems in localization . 
 judicious use of combination methods of localization is recommended in treatment failure or recurrent disease . 
 we report the use of single photon emission computed tomography - ct in precise localization of parathyroid adenoma in a patient with failed initial surgery . ","localization, use, protean, migration, gland",primari hyperparathyroid often present protean manifest result delay diagnosi time aberr develop migrat gland lead ectop locat lead problem local judici use combin method local recommend treatment failur recurr disea report use singl photon emiss comput tomographi ct precis local parathyroid adenoma patient fail initi surgeri
" objectivesymptomatic thoracic disc herniation often requires prompt surgical treatment to prevent neurological deterioration and permanent deficits . 
 anterior approaches offer direct visualization and access to the herniated disc and anterior dura but require access surgeons and are often associated with considerable postoperative pain and pulmonary complications . 
 a disadvantage with using posterior approaches in the setting of central calcified thoracic disc herniation however , has been the limited visualization of anterior dura and difficulty to accurately assess the extent of decompression.methodswe report our experience with intraoperative ultrasound ( us ) guidance during a modified posterior transpedicular approach for removal of a central calcified thoracic disc herniation with a review of pertinent literature.resultsthe herniated thoracic disc was successfully removed with posterior approach with the aid of intraoperative us . 
 the patient had significant neurological improvement at three months follow-up.conclusionintraoperative ultrasound is a simple yet valuable tool for real - time imaging during transpedicular thoracic discectomy . 
 visualization provided by intraoperative us increases the safety profile of posterior approaches and may make thoracotomy unnecessary in a selected group of patients , especially when a patient has existing pulmonary disease or is otherwise not medically fit for the transthoracic approach . ","disc, thoracic, intraoperative, visualization, posterior",objectivesymptomat thorac disc herniat often requir prompt surgic treatment prevent neurolog deterior perman deficit anterior approach offer direct visual access herniat disc anterior dura requir access surgeon often associ consider postop pain pulmonari complic disadvantag use posterior approach set central calcifi thorac disc herniat howev limit visual anterior dura difficulti accur assess extent decompressionmethodsw report experi intraop ultrasound we guidanc modifi posterior transpedicular approach remov central calcifi thorac disc herniat review pertin literatureresultsth herniat thorac disc success remov posterior approach aid intraop we patient signific neurolog improv three month followupconclusionintraop ultrasound simpl yet valuabl tool real time imag transpedicular thorac discectomi visual provid intraop we increa safeti profil posterior approach may make thoracotomi unnecessari select group patient especi patient exist pulmonari disea otherwis medic fit transthorac approach
" acute hemorrhagic leukoencephalitis ( ahle ) is a rare demyelinating disease characterized by an acute rapidly progressive fulminant inflammation of the white matter . in this case report 
 , we introduce a case of ahle in children with an interesting and lengthy process and successful treatment.a previously healthy 13-year - old girl was admitted to the hospital because of fever and loss of consciousness . 
 after 4 days , she was referred to our pediatric intensive care unit in mashhad , iran . on admission , she had right - sided parotiditis . with a diagnosis of ahle , 
 our patient was treated with methylprednisolone , intravenous immunoglobulin , acyclovir , and plasmapheresis.ahle is a rare and severe demyelinating disease , the mortality and morbidity of which can be decreased by early detection and treatment with steroid therapy , intravenous immunoglobulin , acyclovir , and plasmapheresis . ","ahle, plasmapheresis, acyclovir, demyelinating, immunoglobulin",acut hemorrhag leukoenceph ahl rare demyelin disea character acut rapidli progress fulmin inflamm white matter case report introduc case ahl child interest lengthi process success treatmenta previous healthi 13year old girl admit hospit fever loss conscious 4 day refer pediatr inten care unit mashhad iran admiss right side parotid diagnosi ahl patient treat methylprednisolon intraven immunoglobulin acyclovir plasmapheresisahl rare sever demyelin disea mortal morbid decrea earli detect treatment steroid therapi intraven immunoglobulin acyclovir plasmapheresi
" we investigated the clinical significance of large difference (  2 points ) between biopsy - derived ( bgs ) and post - prostatectomy gleason scores ( pgs ) . 
 at 14 medical centers in korea , 1,582 men who underwent radical prostatectomy for prostate cancer were included . according to the difference between bgs and pgs , 
 the patients were divided into three groups : a ( decreased in pgs  2 , n = 30 ) , b ( changed in pgs  1 , n = 1,361 ; control group ) , and c ( increased in pgs  2 , n = 55 ) . 
 we evaluated various clinicopathological factors of prostate cancer and hazards for biochemical failure . 
 group a showed significantly higher mean maximal percentage of cancer in the positive cores ( max% ) and pathological t stage than control . in group c , 
 the number of biopsy core was significantly smaller , however , tumor volume and max% were significantly higher and more positive biopsy cores were presented than control . 
 worse pathological stage and more margin - positive were observed in group a and c than in control . 
 hazard ratio for biochemical failure was also higher in group a and c ( p = 0.001 ) . 
 however , the groups were not independent factors in multivariate analysis . in conclusion , 
 large difference between bgs and pgs shows poor prognosis even in the decreased group . 
 however it is not an independent prognostic factor for biochemical failure . ","pgs, bgs, group, biochemical, biopsy",investig clinic signific larg differ 2 point biopsi deriv bg post prostatectomi gleason score pg 14 medic center korea 1582 man underw radic prostatectomi prostat cancer includ accord differ bg pg patient divid three group decrea pg 2 n 30 b chang pg 1 n 1361 control group c increa pg 2 n 55 evalu variou clinicopatholog factor prostat cancer hazard biochem failur group show significantli high mean maxim percentag cancer posit core max patholog stage control group c number biopsi core significantli small howev tumor volum max significantli high posit biopsi core present control wor patholog stage margin posit observ group c control hazard ratio biochem failur also high group c p 0001 howev group independ factor multivari analysi conclus larg differ bg pg show poor prognosi even decrea group howev independ prognost factor biochem failur
" we prospectively studied the feasibility and effectiveness of sputum induction in obtaining good quality sputum and its subsequent bacterial yield in children with clinically suspected acute lower - respiratory - tract infection ( alrti ) . 
 good quality sputum was collected in 89/98 ( 91% ) patients . 
 sputum cultures revealed 1 bacterial pathogens in 22 cases ( 25% ) . 
 adverse events were infrequent and mild ( 6% ) . 
 sputum induction is feasible in young children and leads to an increased number of etiological diagnoses of alrti . ","sputum, alrti, bacterial, induction, good",prospect studi feasibl effect sputum induct obtain good qualiti sputum subsequ bacteri yield child clinic suspect acut lower respiratori tract infect alrti good qualiti sputum collect 8998 91 patient sputum cultur reveal 1 bacteri pathogen 22 case 25 adver event infrequ mild 6 sputum induct feasibl young child lead increa number etiolog diagnos alrti
" to assess an impact of vascular risk factors on ambulatory blood pressure measurement ( abpm ) in the elderly , we followed up a population - based cohort of men from 68 until 82 years , when 104 survivors underwent abpm . 
 results . at age 68 
 , hypertension and high clinic blood pressure ( cbp ) did not predict abpm level . 
 smoking and low ankle - brachial index ( abi ) predicted higher abpm variability and pulse pressure ( pp ) , but not absolute abpm values . at age 82 , hypertension , high or increasing 
 cbp , strongly positively correlated with all variables of abpm . 
 carotid stenosis , low or declining abi during followup , correlated with higher nocturnal abpm and pp . concluding . 
 hypertension and vascular risk factors in a cohort of 68-year - old men do not result in higher abpm at age 82 , possibly due to inflection point in their pressure development . 
 higher abpm reflects instead an increasing cbp and aggravating atherosclerosis during the preceding decade in that part of the cohort with previously favorable risk factor status . ","abpm, cbp, pressure, 82, hypertension",assess impact vascular risk factor ambulatori blood pressur measur abpm elderli follow popul base cohort man 68 82 year 104 survivor underw abpm result age 68 hyperten high clinic blood pressur cbp predict abpm level smoke low ankl brachial index abi predict high abpm variabl pul pressur pp absolut abpm valu age 82 hyperten high increa cbp strongli posit correl variabl abpm carotid stenosi low declin abi followup correl high nocturn abpm pp conclud hyperten vascular risk factor cohort 68year old man result high abpm age 82 possibl due inflect point pressur develop high abpm reflect instead increa cbp aggrav atherosclerosi prece decad part cohort previous favor risk factor statu
" regenerative medicine is an emerging field of biotechnology that combines various aspects of medicine , cell and molecular biology , materials science and bioengineering in order to regenerate , repair or replace tissues.the oral surgery and maxillofacial surgery have a role in the treatment of traumatic or degenerative diseases that lead to a tissue loss : frequently , to rehabilitate these minuses , you should use techniques that have been improved over time . since 1990 
 , we started with the use of growth factors and platelet concentrates in oral and maxillofacial surgery ; in the following period we start to use biomaterials , as well as several type of scaffolds and autologous tissues . 
 the frontier of regenerative medicine nowadays is represented by the mesenchymal stem cells ( mscs ) : overcoming the ethical problems thanks to the use of mesenchymal stem cells from adult patient , and with the increasingly sophisticated technology to support their manipulation , mscs are undoubtedly the future of medicine regenerative and they are showing perspectives unimaginable just a few years ago . 
 most recent studies are aimed to tissues regeneration using mscs taken from sites that are even more accessible and rich in stem cells : the oral cavity turned out to be an important source of mscs with the advantage to be easily accessible to the surgeon , thus avoiding to increase the morbidity of the patient.the future is the regeneration of whole organs or biological systems consisting of many different tissues , starting from an initial stem cell line , perhaps using innovative scaffolds together with the nano - engineering of biological tissues . ","mscs, tissues, stem, medicine, regenerative",regen medicin emerg field biotechnolog combin variou aspect medicin cell molecular biolog materi scienc bioengin order regener repair replac tissuesth oral surgeri maxillofaci surgeri role treatment traumat degen disea lead tissu loss frequent rehabilit minus use techniqu improv time sinc 1990 start use growth factor platelet concentr oral maxillofaci surgeri follow period start use biomateri well sever type scaffold autolog tissu frontier regen medicin nowaday repre mesenchym stem cell msc overcom ethic problem thank use mesenchym stem cell adult patient increasingli sophist technolog support manipul msc undoubtedli futur medicin regen show perspect unimagin year ago recent studi aim tissu regener use msc take site even access rich stem cell oral caviti turn import sourc msc advantag easili access surgeon thu avoid increa morbid patientth futur regener whole organ biolog system consist mani differ tissu start initi stem cell line perhap use innov scaffold togeth nano engin biolog tissu
" backgroundabnormal lipid levels are considered one of the most significant risk factors for atherosclerosis and coronary artery disease , two of the main causes of death worldwide . 
 apart from monogenic cases of hypercholesterolemia , most of the common dyslipidemias are caused by a number of low - impact polymorphisms . 
 it has recently been reported that frequent polymorphisms at a large number of loci are significantly associated with one or more blood lipid parameters in many populations . 
 identifying these associations in different populations and estimating the possible interactions between genetic models are necessary to explain the underlying genetic architecture of the associated loci and their ultimate impact on lipid - associated traits.methodswe estimated the association between 144 common single - nucleotide polymorphisms ( snps ) from published genome - wide association studies and the levels of total cholesterol , low- and high - density lipoprotein  cholesterol , and triglycerides in 1273 individuals from the genome database of the latvian population . 
 we analyzed a panel of 144 common snps with illumina goldengate genotyping assays on the illumina beadxpress system.resultsten snps at the cetp locus and two at the mlxipl locus were associated with reduced high - density lipoprotein  
 cholesterol levels ; one snp at the tomm40 locus was associated with increased low - density lipoprotein  
 cholesterol ; and four snps at the mlxipl locus were associated with increased log triglyceride levels . 
 there was also a significant correlation between the number of risk alleles and all the lipid parameters , suggesting that the coexistence of many low - impact snps has a greater effect on the dyslipidemia phenotype than the individual effects of found snps.conclusionwe conclude that the cetp , mlxipl , and tomm40 loci are the strongest genetic factors underlying the variability in lipid traits in our population . ","snps, lipid, locus, cholesterol, mlxipl",backgroundabnorm lipid level consid one signific risk factor atherosclerosi coronari arteri disea two main caus death worldwid apart monogen case hypercholesterolemia common dyslipidemia caus number low impact polymorph recent report frequent polymorph larg number loci significantli associ one blood lipid paramet mani popul identifi associ differ popul estim possibl interact genet model necessari explain underli genet architectur associ loci ultim impact lipid associ traitsmethodsw estim associ 144 common singl nucleotid polymorph snp publish genom wide associ studi level total cholesterol low high densiti lipoprotein cholesterol triglycerid 1273 individu genom databas latvian popul analyz panel 144 common snp illumina goldeng genotyp assay illumina beadxpress systemresultsten snp cetp locu two mlxipl locu associ reduc high densiti lipoprotein cholesterol level one snp tomm40 locu associ increa low densiti lipoprotein cholesterol four snp mlxipl locu associ increa log triglycerid level also signific correl number risk allel lipid paramet suggest coexist mani low impact snp great effect dyslipidemia phenotyp individu effect find snpsconclusionw conclud cetp mlxipl tomm40 loci strong genet factor underli variabl lipid trait popul
" hodgkin s lymphoma ( hl ) originates from clonal b cells and is the most common malignancy in the second decade of life . 
 liver involvement is uncommon at presentation in patients with hl and there is a paucity of data for treatment of patients with severely impaired liver function . 
 we present an unusual case of hl with severe hepatic impairment , splenomegaly and multiple chromosomal abnormalities that was treated initially with gemcitabine and steroids . 
 once liver function tests improved , six cycles of adriamycin , bleomycin , vinblastine , and dacarbazine were administered . 
 the patient remains in remission at 3.5 years of follow - up . ","hl, liver, function, dacarbazine, vinblastine",hodgkin lymphoma hl origin clonal b cell common malign second decad life liver involv uncommon present patient hl pauciti datum treatment patient sever impair liver function present unusu case hl sever hepat impair splenomegali multipl chromosom abnorm treat initi gemcitabin steroid liver function test improv six cycl adriamycin bleomycin vinblastin dacarbazin administ patient remain remiss 35 year follow
" purposecancer - related inflammation affects many aspects of malignancy . 
 we confirm the effects of early postoperative systemic inflammation on cancer prognosis.materials and methodssix hundred consecutive patients underwent surgery for colorectal cancer from 2006 to 2009 . 
 measurements of white blood cells , neutrophils , lymphocytes , monocytes , and platelet counts were performed preoperatively , daily until the fourth postoperative day , and subsequently every two days . 
 patients were divided into three groups based on the days spent on the leukocyte count to drop below 10,000/mm3 after surgery.resultspreoperative white blood cell ( wbc ) counts correlated with stage of disease . in univariate survival analyses , tumor , node , metastasis 
 ( tnm ) stage , and monocyte count were associated with cancer - free survival . 
 in addition , cancer - free survival outcomes were worse in patients who required more than four days for the normalization of wbc count . 
 a tnm stage greater than ii and the neutrophil lymphocyte ratio were associated with the duration of overall survival . in a multivariate analysis of these significant variables , tnm stage , an interval longer than four days for normalization of wbc counts and monocyte count independently associated with cancer - free survival.conclusionpostoperative early inflammatory phase and preoperative monocyte count correlate with poor colon cancer prognosis . 
 we can conclude that preoperative and postoperative inflammatory response and period unfavorably affect the metastatic microenvironment . ","count, cancer, survival, tnm, wbc",purposecanc relat inflamm affect mani aspect malign confirm effect earli postop system inflamm cancer prognosismateri methodssix hundr consecut patient underw surgeri colorect cancer 2006 2009 measur white blood cell neutrophil lymphocyt monocyt platelet count perform preoper daili fourth postop day subsequ everi two day patient divid three group base day spend leukocyt count drop 10000mm3 surgeryresultspreop white blood cell wbc count correl stage disea univari surviv analys tumor node metastasi tnm stage monocyt count associ cancer free surviv addit cancer free surviv outcom wor patient requir four day normal wbc count tnm stage great ii neutrophil lymphocyt ratio associ durat overal surviv multivari analysi signific variabl tnm stage interv long four day normal wbc count monocyt count independ associ cancer free survivalconclusionpostop earli inflammatori phase preoper monocyt count correl poor colon cancer prognosi conclud preoper postop inflammatori respon period unfavor affect metastat microenviron
" retrorectal cystic hamartoma , also known as tailgut cyst , is a rare congenital developmental lesion arising from postnatal primitive gut remnants in the retrorectal space . 
 the rarity of the lesion and its anatomical position usually leads to difficulty in diagnosis and surgical management . 
 this cyst predominantly occurs in women ( female to male ratio , 3:1 ) . 
 tailgut cysts can present as incidental findings during the routine examination but over half of the patients are thought to present with symptoms . 
 computed tomography or magnetic resonance imaging has a crucial role in diagnosing these misdiagnosed cysts . 
 complete surgical excision is the treatment of choice for tailgut cysts as this provides a definitive diagnosis , relieves symptoms , and prevents possible complications such as infection , fistula formation , and malignant degeneration . 
 we present a case of a 40-year - old female , who presented to us with lower back swelling ( 7 cm  5 cm ) for last 2 years , which had become more prominent to her while sitting . 
 the patient was investigated . 
 ultrasonography demonstrated ill - defined large cystic lesion ( 8 cm  7 cm ) , posterior to the uterus . 
 fine needle aspiration cytology suggested sebaceous cyst . 
 a lumbosacral contrast - enhanced computed tomography demonstrated well - defined fluid density mass / collection with enhancing walls in the retrorectal , presacral , precoccygeal area , and suggested tailgut duplication cyst / retrorectal cystic hamartoma . 
 surgical complete excision of the cystic mass was done with both anterior ( transabdominal ) and posterior approach . 
 histopathology confirmed a tailgut cyst . ","tailgut, cyst, retrorectal, cystic, cm",retrorect cystic hamartoma also know tailgut cyst rare congenit development lesion aris postnat primit gut remnant retrorect space rariti lesion anatom posit usual lead difficulti diagnosi surgic manag cyst predominantli occur woman femal male ratio 31 tailgut cyst present incident find routin examin half patient think present symptom comput tomographi magnet reson imag crucial role diagnos misdiagno cyst complet surgic excis treatment choic tailgut cyst provid definit diagnosi reliev symptom prevent possibl complic infect fistula format malign degener present case 40year old femal present we lower back swell 7 cm 5 cm last 2 year becom promin sit patient investig ultrasonographi demonstr ill defin larg cystic lesion 8 cm 7 cm posterior uteru fine needl aspir cytolog suggest sebac cyst lumbosacr contrast enhanc comput tomographi demonstr well defin fluid densiti mass collect enhanc wall retrorect presacr precoccyg area suggest tailgut duplic cyst retrorect cystic hamartoma surgic complet excis cystic mass do anterior transabdomin posterior approach histopatholog confirm tailgut cyst
" background : ala - al - din abu al - hassan ali ibn abi - hazm al - qarshi al - dimashqi , known as ibn al - nafis ( 1210 - 1288 ad ) , was a muslim syrian physician primarily famous for being the first to describe the pulmonary circulation of the blood . 
 the most voluminous of his books is alshamel fi sanaat tebbiat , which is a comprehensive medical encyclopedia . 
 it comprised 300 volumes of notes , from which only 80 volumes are published . 
 his writings are cataloged in many libraries around the world . 
 the aim of this review article , as a tribute to ibn al - nafis , was to introduce his valuable but neglected encyclopedia of materia medica.methods:ibn al - nafis traditional approach in his  alshamel fi sanaat tebbiat  book is studied in the present article.results:alshamel 
 fi sanaat tebbiat covers three branches of knowledge . 
 the first category is devoted to theoretical traditional medicine . 
 the second is in four sections where much of it is not available yet . 
 the third category is on materia medica covering the aspect of unani medicine , from which only 28 volumes of the comprehensive book on the traditional medicine have been found so far . 
 the latter , introduces mono - ingredient medications in alphabetical order . each chapter , in several parts , 
 is dedicated to the botanical characteristics and nature of each mono - ingredient medication . 
 in addition , this book explains traditional pharmacokinetic of every single medication for each human body organs.conclusion:based on pharmaco - mechanistic perspective on alshamel fi sanaat tebbiat , it could be considered as the main reference book on traditional medicine and pharmacy , worthy of revival . ","al, book, tebbiat, sanaat, fi",background ala al din abu al hassan ali ibn abi hazm al qarshi al dimashqi know ibn al nafi 1210 1288 ad muslim syrian physician primarili famou first describ pulmonari circul blood volumin book alshamel fi sanaat tebbiat comprehens medic encyclopedia compris 300 volum note 80 volum publish write catalog mani librari around world aim review articl tribut ibn al nafi introduc valuabl neglect encyclopedia materia medicamethodsibn al nafi tradit approach alshamel fi sanaat tebbiat book studi present articleresultsalshamel fi sanaat tebbiat cover three branch knowledg first categori devot theoret tradit medicin second four section much avail yet third categori materia medica cover aspect unani medicin 28 volum comprehens book tradit medicin find far latter introduc mono ingredi medic alphabet order chapter sever part dedic botan characterist natur mono ingredi medic addit book explain tradit pharmacokinet everi singl medic human bodi organsconclusionbas pharmaco mechanist perspect alshamel fi sanaat tebbiat could consid main refer book tradit medicin pharmaci worthi reviv
" fondaparinux sodium is a synthetic , sulfated pentasaccharide , selective factor xa inhibitor , a safe and effective antithrombotic agent indicated for preventing thrombus formation in patients with acute coronary syndromes , including those with st - segment elevation myocardial infarction ( stemi ) , non - stemi ( nstemi ) , or unstable angina . 
 major bleeding is rarely known to exist with the use of fondaparinux and to best of our knowledge there exist no isolated case report presenting with fondaparinux - induced major bleeding prescribed for recently diagnosed nstemi . 
 the case report highlights , a need for clinicians to have a sound understanding of anticoagulant pharmacology , dosing , toxicity , individualized approach , and predicting the risk of bleeding before they are prescribed to advancing age persons . ","fondaparinux, bleeding, nstemi, stemi, prescribed",fondaparinux sodium synthet sulfat pentasaccharid select factor xa inhibitor safe effect antithrombot agent indic prevent thrombu format patient acut coronari syndrom includ st segment elev myocardi infarct stemi non stemi nstemi unstabl angina major bleed rare know exist use fondaparinux good knowledg exist isol case report present fondaparinux induc major bleed prescrib recent diagnos nstemi case report highlight need clinician sound understand anticoagul pharmacolog dose toxic individu approach predict risk bleed prescrib advanc age person
" airway management in patients with complex maxillofacial injuries is a challenge to anesthesiologists . 
 submental intubation is a useful technique that is less invasive than tracheostomy in securing the airways where orotracheal and nasotracheal intubation can not be performed . 
 this procedure avoids the use of tracheostomy and bypasses its associated morbidities . 
 a flexible and kink - resistant reinforced endotracheal tube with detachable universal connector is commonly used for submental intubation . 
 herein , we report cases involving submental intubation using a reinforced endotracheal tube with a non - detachable universal connector in patients with complex maxillofacial injuries . ","intubation, submental, connector, detachable, reinforced",airway manag patient complex maxillofaci injuri challeng anesthesiologist subment intub use techniqu less invas tracheostomi secur airway orotrach nasotrach intub perform procedur avoid use tracheostomi bypass associ morbid flexibl kink resist reinforc endotrach tube detach univer connector commonli use subment intub herein report case involv subment intub use reinforc endotrach tube non detach univer connector patient complex maxillofaci injuri
" fixed drug eruptions ( fde ) are the common dermatological adverse drug reaction accounts for 1621% of all cutaneous drug reactions in india . 
 drugs most frequently implicated in fde are antimicrobials , anticonvulsants , and nonsteroidal antiinflammatory drugs . here , we report a rare case of bullous fde due to ciprofloxacin followed by ofloxacin administration . ","fde, drug, drugs, ofloxacin, antiinflammatory",fix drug erupt fde common dermatolog adver drug reaction account 1621 cutan drug reaction india drug frequent implic fde antimicrobi anticonvul nonsteroid antiinflammatori drug report rare case bullou fde due ciprofloxacin follow ofloxacin administr
" sexual competition has selected a number of extreme phenotypes like the tail ornament of peacock male . 
 sperm tail of drosophilidae elongate up to 6 cm as a result of evolutionary selection for reproductive fitness among competing sperms . 
 sperm elongation takes place post meiotically and can proceed in the absence of an axoneme . here , we used primary cultures of elongating spermatids of d. melanogaster to demonstrate that sperm elongation is driven by interdependent extension of giant mitochondria and microtubule array that is formed around the mitochondrial surface . this work 
 established that , in addition to functioning as an energy source , mitochondria can serve as internal skeleton for shaping cell morphology . ","sperm, elongation, tail, mitochondria, shaping",sexual competit select number extrem phenotyp like tail ornament peacock male sperm tail drosophilida elong 6 cm result evolutionari select reproduct fit among compet sperm sperm elong take place post meiotic proceed absenc axonem use primari cultur elong spermatid melanogast demonstr sperm elong drive interdepend extens giant mitochondria microtubul array form around mitochondri surfac work establish addit function energi sourc mitochondria serv intern skeleton shape cell morpholog
" aim : the aim of the study was to investigate the effects of different interface materials and curing units on color changes in a resin cement material.materials and methods : three interface materials and different curing systems , quartz - tungsten - halogen and polywave and monowave light - emitting diode ( led ) light curing units , were studied at two - time intervals . 
 polystyrene strip was used as a control group . 
 all measurements were made on a white background for standard color measurement . according to the cie l*a*b * color space , the baseline color values of each specimen were measured . 
 differences between the measurements were calculated as e , l , a , and b . data were analyzed using analysis of variance ( anova ) and duncan 's tests (  = 0.05 ) with spss 20.0 software ( spss inc . , 
 chicago , il , usa ) . 
 anova revealed significance for interface materials and curing units and time for e ( p < 0.05).results : interaction between polymerizing units , material and time was not significant ( p > 0.05 ) . 
 monowave led exhibited significantly higher color changes than the other units ( [ p < 0.05 ] [ e 2.94  0.44 ] ) . 
 qth promoted composite specimens significantly less color change ( [ p < 0.05 ] [ e 0.87  0.41]).conclusion : this study concluded that color of resin cement used in the adhesion of indirect restorations was affected by curing device light and indirect restoration material type . ","color, curing, units, 05, interface",aim aim studi investig effect differ interfac materi cure unit color chang resin cement materialmateri method three interfac materi differ cure system quartz tungsten halogen polywav monowav light emit diod lead light cure unit studi two time interv polystyren strip use control group measur make white background standard color measur accord cie lab color space baselin color valu speciman measur differ measur calcul e l b datum analyz use analysi varianc anova duncan test 005 spss 200 softwar spss inc chicago il usa anova reveal signific interfac materi cure unit time e p 005result interact polymer unit materi time signific p 005 monowav lead exhibit significantli high color chang unit p 005 e 294 044 qth promot composit speciman significantli less color chang p 005 e 087 041conclus studi conclud color resin cement use adhe indirect restor affect cure devic light indirect restor materi type
